id,timestamp,type,lat,lon,duration,nearest_sensor_id,dist_km
17020072,2017-02-17 04:51:00,1125-Traffic Hazard,37.255463,-121.849853,1.0,400519,0.3013457839178327
17020113,2017-02-17 05:34:00,1125-Traffic Hazard,37.346796,-121.904575,14.0,409524,0.3487005948493107
17020249,2017-02-17 06:55:00,1125-Traffic Hazard,37.419004,-121.961129,2.0,400567,0.18798671749151147
17020572,2017-02-17 09:11:00,1125-Traffic Hazard,37.405339,-122.056326,57.0,402373,0.0019385316607123417
17020597,2017-02-17 09:23:00,1183-Trfc Collision-Unkn Inj,37.386206,-122.068386,35.0,407348,0.2145824083307983
17020599,2017-02-17 09:21:00,1125-Traffic Hazard,37.333611,-121.861477,,401809,0.18357702037590176
17020601,2017-02-17 09:19:00,1125-Traffic Hazard,37.327743,-121.878188,31.0,400799,0.22857530640193982
17020635,2017-02-17 09:36:00,1166-Defective Traffic Signals,37.341018,-121.900294,201.0,402117,0.417246283311299
17020636,2017-02-17 09:35:00,1125-Traffic Hazard,37.329685,-121.867957,67.0,403402,0.3328361606941657
17020637,2017-02-17 09:34:00,1125-Traffic Hazard,37.333642,-121.937287,212.0,400723,0.09710292434847238
17020686,2017-02-17 09:58:00,1183-Trfc Collision-Unkn Inj,37.378128,-122.067512,321.0,407328,0.10117581499990388
17020687,2017-02-17 09:57:00,1183-Trfc Collision-Unkn Inj,37.378128,-122.067512,45.0,407328,0.10117581499990388
17020689,2017-02-17 09:55:00,1183-Trfc Collision-Unkn Inj,37.355891,-121.909472,292.0,401440,0.12755097854898295
17020984,2017-02-17 11:44:00,1125-Traffic Hazard,37.386206,-122.068386,85.0,407348,0.2145824083307983
17021117,2017-02-17 12:35:00,1183-Trfc Collision-Unkn Inj,37.31808,-121.978094,89.0,400414,0.08934589891556509
17021150,2017-02-17 12:44:00,1182-Trfc Collision-No Inj,37.328677,-122.052233,40.0,404435,0.27759735212332326
17021198,2017-02-17 13:01:00,1183-Trfc Collision-Unkn Inj,37.316435,-121.9683,155.0,400292,0.4165200567962234
17021256,2017-02-17 13:16:00,WW-Wrong Way Driver,37.253725,-121.947634,,400485,0.18436562033212095
17021287,2017-02-17 13:31:00,1182-Trfc Collision-No Inj,37.343256,-121.846985,2.0,407173,0.17739210018988524
17021358,2017-02-17 13:52:00,1183-Trfc Collision-Unkn Inj,37.413077,-122.081123,156.0,401507,0.18134342826888614
17021427,2017-02-17 14:08:00,1183-Trfc Collision-Unkn Inj,37.303185,-121.87808,17.0,400837,0.01937641638701232
17021486,2017-02-17 14:30:00,1182-Trfc Collision-No Inj,37.321875,-121.89929,11.0,413877,0.04870712379162396
17021514,2017-02-17 14:41:00,1183-Trfc Collision-Unkn Inj,37.318462,-121.990017,19.0,400429,0.36644137998861404
17021569,2017-02-17 14:57:00,1183-Trfc Collision-Unkn Inj,37.316435,-121.9683,36.0,400292,0.4165200567962234
17021570,2017-02-17 14:56:00,1125-Traffic Hazard,37.362767,-121.887874,108.0,400109,0.17240501276104786
17021585,2017-02-17 15:02:00,1125-Traffic Hazard,37.387327,-122.068761,67.0,400528,0.17398980021872149
17021603,2017-02-17 15:08:00,1183-Trfc Collision-Unkn Inj,37.363467,-121.895299,15.0,400965,0.1902665955569326
17021665,2017-02-17 15:27:00,1183-Trfc Collision-Unkn Inj,37.413077,-122.081123,37.0,401507,0.18134342826888614
17021666,2017-02-17 15:25:00,1183-Trfc Collision-Unkn Inj,37.290418,-121.871401,166.0,400257,0.15059280451911608
17021684,2017-02-17 15:31:00,1179-Trfc Collision-1141 Enrt,37.318462,-121.990017,42.0,400429,0.36644137998861404
17021726,2017-02-17 15:48:00,20002-Hit and Run No Injuries,37.25388,-121.880718,34.0,400461,0.2235321185914753
17021763,2017-02-17 15:54:00,1183-Trfc Collision-Unkn Inj,37.404133,-122.069766,8.0,400174,0.04962146959747404
17021848,2017-02-17 16:26:00,1183-Trfc Collision-Unkn Inj,37.34365,-121.855732,17.0,401890,0.031091494303802227
17021850,2017-02-17 16:21:00,1183-Trfc Collision-Unkn Inj,37.34365,-121.855732,30.0,401890,0.031091494303802227
17021851,2017-02-17 16:19:00,FLOOD-Roadway Flooding,37.317908,-121.980567,231.0,400414,0.3625456436805066
17021868,2017-02-17 16:32:00,FLOOD-Roadway Flooding,37.328413,-122.009901,30.0,400084,0.25662683883191123
17021886,2017-02-17 16:35:00,1183-Trfc Collision-Unkn Inj,37.340665,-121.928504,31.0,400709,0.11211137375405401
17021906,2017-02-17 16:41:00,1182-Trfc Collision-No Inj,37.316752,-121.922068,28.0,403419,0.057740915440698586
17021923,2017-02-17 16:45:00,FLOOD-Roadway Flooding,37.375614,-121.936469,5.0,400172,0.36713237834440254
17021937,2017-02-17 16:54:00,1183-Trfc Collision-Unkn Inj,37.316656,-121.947986,43.0,401400,0.4933785307712195
17021939,2017-02-17 16:50:00,1125-Traffic Hazard,37.391582,-121.870387,4.0,407155,0.007755715440494341
17021977,2017-02-17 17:08:00,1183-Trfc Collision-Unkn Inj,37.317021,-121.931206,33.0,405701,0.7464973152058145
17021999,2017-02-17 17:10:00,1182-Trfc Collision-No Inj,37.42093,-122.09254,19.0,401507,1.7093207484875714
17022000,2017-02-17 17:09:00,1182-Trfc Collision-No Inj,37.418718,-121.970433,28.0,400096,0.24850530168454266
17022016,2017-02-17 17:14:00,1125-Traffic Hazard,37.317935,-121.980482,37.0,400414,0.3530918549185671
17022061,2017-02-17 17:31:00,1182-Trfc Collision-No Inj,37.317202,-121.94032,6.0,407711,0.13213518512889452
17022079,2017-02-17 17:36:00,1183-Trfc Collision-Unkn Inj,37.317132,-121.933567,62.0,407710,0.5812204741799407
17022110,2017-02-17 17:47:00,1182-Trfc Collision-No Inj,37.317202,-121.94032,45.0,407711,0.13213518512889452
17022111,2017-02-17 17:45:00,1179-Trfc Collision-1141 Enrt,37.408367,-122.068737,50.0,407332,0.1490204248312152
17022143,2017-02-17 17:55:00,FLOOD-Roadway Flooding,37.399372,-122.06953,123.0,407323,0.34168118732194586
17022144,2017-02-17 17:53:00,FLOOD-Roadway Flooding,37.292202,-121.93737,6.0,400298,0.10847977242750202
